600000,2000-12-07,planning,
2000000,2010-04-12,budgeting,
2000000,2004-11-17,budgeting,
3000000,2006-08-03,initialized,
500000,2011-03-21,planning,
600000,2002-05-28,initialized,
1000000,2010-04-18,works in progress,
700000,2007-03-06,planning,
3000000,2007-06-21,planning,
3000000,2011-01-13,snags completed,
600000,2007-12-29,works in progress,
700000,2006-10-26,snags completed,
1000000,2005-07-21,budgeting,
300000,2007-08-15,snags completed,
700000,2005-12-29,planning,
3000000,2003-01-04,initialized,
500000,2003-06-19,closed,
900000,2008-02-20,initialized,
500000,2009-05-08,closed,
900000,2012-09-16,initialized,
